"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Gambia, The","GMB",146749338,0.264437814122017,1,22,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",192844777,0.851103602316395,1,42,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,3,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",154267775,0.406085813684313,1,42,2,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,2,5,1,2,0,0
"Gambia, The","GMB",117377579,1.64787607238668,1,35,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,2,1,,0,0,4,4,4,2,4,5,2,2,0,0
"Gambia, The","GMB",184665674,1.13318127747869,1,36,1,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,1,,,,,,,,,,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,1,,1,1,2,1,1,5,1,1,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,2,,1,1,4,4,4,4,2,1,1,1,1,0
"Gambia, The","GMB",165920048,1.25467575586981,1,42,3,3,1,2,1,1,0,1,2,1,2,,2,1,2,,,,1,2,1,1,2,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,3,1,1,2,,,,1,1,,,1,1,1,2,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,2,2,2,2,3,2,,1,0,1,4,4,4,1,1,1,1,1,0
"Gambia, The","GMB",139698460,1.02442623113506,1,46,2,5,1,2,1,1,0,1,2,2,,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,1,2,,,,1,1,,1,2,2,1,2,1,3,2,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,3,5,1,1,1,0
"Gambia, The","GMB",192986753,1.8582186775108,2,45,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,1,2,0,0
"Gambia, The","GMB",202424100,1.57571437944095,1,38,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,1,1,2,1,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,2,,1,1,1,1,2,3,1,1,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,2,1,1,,1,1,4,4,4,2,2,1,1,1,0,0
"Gambia, The","GMB",203238322,2.39582258347298,2,71,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,2,2,,,,2,,,,1,2,1,1,,,1,2,2,2,2,2,,2,2,,,,,1,2,2,2,1,,1,3,1,1,3,1,,0,0,3,4,4,2,1,5,1,2,0,0
"Gambia, The","GMB",199809418,0.480977026060994,1,50,2,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,1,2,2,1,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,4,1,,0,1,2,4,4,2,4,2,2,2,0,0
"Gambia, The","GMB",160389692,0.828081018167525,1,26,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,2,,0,1,4,4,4,4,2,5,1,1,0,0
"Gambia, The","GMB",138369945,0.747921667833501,2,18,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,3,2,1,2,2,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,3,1,,0,1,4,4,4,4,3,5,1,2,0,0
"Gambia, The","GMB",163490206,0.492746239155777,2,37,3,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,2,4,4,4,2,5,1,1,0,0
"Gambia, The","GMB",152042306,0.644814814043165,2,37,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,1,1,2,,,,1,2,2,1,2,,,,,,2,,,,,,,2,2,,,,,1,3,2,2,1,,1,1,1,1,1,1,,0,1,4,4,4,2,4,2,1,1,0,0
"Gambia, The","GMB",196207253,2.074055034523,2,26,2,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,2,,1,,,,,,,,,,1,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,1,2,2,1,1,2,2,,,2,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,2,1,,1,0,4,4,4,2,3,2,1,1,0,0
"Gambia, The","GMB",209770573,1.21172162687108,1,26,2,5,2,2,1,1,0,1,1,2,,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,1,2,,,,1,1,,2,2,2,1,,1,3,3,1,1,,,1,1,,,2,,,,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,2,1,3,2,2,2,,1,1,1,4,4,4,4,1,1,1,1,0
"Gambia, The","GMB",161156352,0.441665521700271,1,37,2,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,1,,1,2,2,2,2,1,2,2,2,,,,1,2,1,1,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,2,4,1,,1,0,4,4,4,4,4,2,1,1,0,0
