hh_id,survey_year,data_source,rural,agent_time_min,settlement
13788,2019,FinScope,1,,32101
13815,2019,FinScope,0,45.5,32102
13838,2019,FinScope,0,,32102
13864,2019,FinScope,0,,32102
13901,2019,FinScope,0,,32102
13921,2019,FinScope,0,45.5,32102
13939,2019,FinScope,0,15.0,32102
13963,2019,FinScope,0,,32102
14009,2019,FinScope,0,90.0,32102
14016,2019,FinScope,0,25.5,32105
14056,2019,FinScope,0,45.5,32105
14068,2019,FinScope,0,,32105
14093,2019,FinScope,0,,32105
14115,2019,FinScope,0,15.0,32105
14149,2019,FinScope,0,25.5,32105
14168,2019,FinScope,0,,32105
14188,2019,FinScope,0,,32105
14222,2019,FinScope,0,,32107
14239,2019,FinScope,0,,32107
14264,2019,FinScope,0,,32107
14289,2019,FinScope,0,25.5,32107
14316,2019,FinScope,0,45.5,32107
14338,2019,FinScope,0,,32107
14371,2019,FinScope,0,15.0,32107
14388,2019,FinScope,0,,32107
14413,2019,FinScope,0,,32110
14439,2019,FinScope,0,5.0,32110
14464,2019,FinScope,0,,32110
14490,2019,FinScope,0,15.0,32110
14515,2019,FinScope,0,,32110
14538,2019,FinScope,0,25.5,32110
14564,2019,FinScope,0,25.5,32110
14589,2019,FinScope,0,25.5,32110
14622,2019,FinScope,1,45.5,32207
14640,2019,FinScope,1,90.0,32207
14665,2019,FinScope,1,,32207
14698,2019,FinScope,1,,32207
14724,2019,FinScope,1,25.5,32207
14738,2019,FinScope,1,25.5,32207
14766,2019,FinScope,1,,32207
14805,2019,FinScope,1,,32207
14814,2019,FinScope,1,,32221
14841,2019,FinScope,1,,32221
14867,2019,FinScope,1,,32221
14891,2019,FinScope,1,15.0,32221
14918,2019,FinScope,1,,32221
14938,2019,FinScope,1,5.0,32221
14963,2019,FinScope,1,5.0,32221
14988,2019,FinScope,1,5.0,32221
15014,2019,FinScope,1,210.0,32224
15040,2019,FinScope,1,,32224
15065,2019,FinScope,1,,32224
15090,2019,FinScope,1,25.5,32224
15120,2019,FinScope,1,,32224
15139,2019,FinScope,1,25.5,32224
15164,2019,FinScope,1,,32224
15189,2019,FinScope,1,,32224
15215,2019,FinScope,1,90.0,32232
15239,2019,FinScope,1,,32232
15265,2019,FinScope,1,,32232
15291,2019,FinScope,1,,32232
15328,2019,FinScope,1,,32232
15339,2019,FinScope,1,25.5,32232
15369,2019,FinScope,1,25.5,32232
15388,2019,FinScope,1,25.5,32232
15415,2019,FinScope,0,,32301
15442,2019,FinScope,0,45.5,32301
15468,2019,FinScope,0,,32301
15494,2019,FinScope,0,45.5,32301
15516,2019,FinScope,0,,32301
15541,2019,FinScope,0,25.5,32301
15566,2019,FinScope,0,25.5,32301
15590,2019,FinScope,0,45.5,32301
15615,2019,FinScope,0,,32302
15645,2019,FinScope,0,,32302
15670,2019,FinScope,0,,32302
15698,2019,FinScope,0,,32302
15720,2019,FinScope,0,15.0,32302
15744,2019,FinScope,0,5.0,32302
15766,2019,FinScope,0,15.0,32302
15791,2019,FinScope,0,,32302
